                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.9117,                 4.0809,                  4.469,                0.00323,                0.84932,                0.00453,                0.00189,                 2.2132,                 3.9602,                 4.1321,                 0.0883,                 0.0013,                 0.0013
                      1,                 2.8381,                 3.8314,                 4.3695,                0.00329,                0.85388,                 0.0045,                0.00187,                 2.1811,                 3.9144,                 4.1073,               0.075647,              0.0026465,              0.0026465
                      2,                 2.9068,                  3.707,                 4.2198,                 0.0033,                0.85845,                 0.0041,                0.00175,                 2.1552,                  3.884,                 4.0819,               0.062938,              0.0039376,              0.0039376
                      3,                 2.8384,                  3.259,                 4.1249,                0.00328,                0.85845,                0.00399,                0.00178,                 2.1387,                 3.8575,                 4.0617,               0.050173,              0.0051733,              0.0051733
                      4,                 2.8455,                 3.0589,                 4.0371,                 0.0033,                0.85845,                 0.0045,                0.00194,                 2.1324,                 3.8305,                 4.0485,               0.037354,              0.0063535,              0.0063535
                      5,                 2.7516,                 2.8207,                 3.8982,                0.00327,                0.85845,                 0.0054,                0.00219,                 2.1294,                 3.8028,                  4.044,               0.024478,              0.0074783,              0.0074783
                      6,                 2.8129,                 2.7726,                  3.781,                0.00323,                0.85845,                0.00737,                  0.003,                 2.1237,                  3.806,                  4.045,               0.011548,              0.0085476,              0.0085476
                      7,                 2.7016,                 2.5953,                 3.6067,                0.00352,                0.96347,                 0.0416,                0.01572,                 2.0759,                 3.7166,                 3.9966,               0.008614,               0.008614,               0.008614
                      8,                 2.5992,                 2.5221,                 3.4656,                0.88133,                0.16957,                0.60905,                0.28294,                 1.7142,                 2.7134,                 3.1685,               0.008614,               0.008614,               0.008614
                      9,                 2.6249,                 2.1885,                 3.4168,                0.65248,                0.88302,                0.78822,                0.41089,                 1.6476,                 1.8465,                 3.1247,               0.008416,               0.008416,               0.008416
                     10,                 2.5077,                 2.1004,                 3.2788,                0.43424,                0.36986,                0.37677,                0.15169,                 1.8948,                 2.7083,                 4.5744,               0.008218,               0.008218,               0.008218
                     11,                 2.4601,                 2.1205,                 3.2462,                0.87311,                0.81735,                0.86536,                0.29026,                 2.2102,                 3.0596,                 4.7442,                0.00802,                0.00802,                0.00802
                     12,                 2.4447,                 1.9772,                 3.1397,                0.72141,                0.91324,                0.87582,                0.30861,                 1.9828,                 4.6805,                 5.9666,               0.007822,               0.007822,               0.007822
                     13,                 2.4585,                 1.9759,                 3.0688,                 0.8199,                0.91469,                0.92024,                0.42344,                 1.8027,                 1.4192,                 3.5267,               0.007624,               0.007624,               0.007624
                     14,                 2.2109,                 1.7194,                 2.8888,                0.94359,                0.91652,                0.98117,                0.53232,                 1.6863,                 1.3174,                   2.67,               0.007426,               0.007426,               0.007426
                     15,                 2.3384,                 1.7012,                 2.9379,                0.94213,                0.96347,                0.99127,                0.46642,                 1.7262,                 1.3682,                 2.8503,               0.007228,               0.007228,               0.007228
                     16,                 2.2519,                 1.6967,                 2.8397,                0.95927,                0.96798,                0.98786,                0.58903,                 1.4509,                 1.9898,                  2.492,                0.00703,                0.00703,                0.00703
                     17,                 2.2021,                 1.5929,                 2.7862,                0.92914,                0.96804,                0.98386,                0.57772,                 1.4609,                 1.1446,                 2.3317,               0.006832,               0.006832,               0.006832
                     18,                 2.1412,                 1.5667,                 2.7557,                0.91703,                0.90845,                0.93614,                0.30845,                 2.3552,                 1.4824,                 3.1737,               0.006634,               0.006634,               0.006634
                     19,                 1.9842,                 1.3995,                 2.6386,                0.98401,                 0.9726,                0.98863,                 0.4929,                 1.8233,                 1.3059,                 2.8967,               0.006436,               0.006436,               0.006436
                     20,                 2.0378,                 1.4676,                 2.6454,                0.97239,                0.96475,                0.97791,                0.62884,                 1.3104,                 1.1299,                 2.1415,               0.006238,               0.006238,               0.006238
                     21,                 1.9983,                 1.4233,                 2.5789,                0.95867,                0.95321,                0.98383,                0.56634,                 1.4632,                  1.263,                 2.2935,                0.00604,                0.00604,                0.00604
